Orator,Entity Type,Part of Speech,Entity Phrase,Entity Root,Grouping,Seed Term,Function,Sentence
bush,PERSON,PROPN,Mr. President Pro Tempore,President Pro Tempore,ingroup,inferred,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,PROPN,Congress,Congress,ingroup,inferred,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,NORP,PROPN,fellow Americans,Americans,ingroup,fellow,Classification,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,PROPN,the Union,Union,,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,PERSON,PROPN,Todd Beamer,Todd Beamer,ingroup,exceptional man,Classification,"We have seen it in the courage of passengers, who rushed terrorists to save others on the ground -- passengers like an exceptional man named Todd Beamer."
bush,PERSON,PROPN,Lisa Beamer,Lisa Beamer,ingroup,inferred,,"And would you please help me to welcome his wife, Lisa Beamer, here tonight."
bush,ORG,PROPN,the Congress,Congress,ingroup,inferred,,I thank the Congress for its leadership at such an important time.
bush,GPE,PROPN,America,America,ingroup,linked,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,PROPN,Republicans,Republicans,ingroup,inferred,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,PROPN,Democrats,Democrats,ingroup,inferred,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,GPE,PROPN,America,America,ingroup,linked,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,PROPN,Paris,Paris,,,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,PROPN,Seoul,Seoul,,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,PROPN,Cairo,Cairo,,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,PROPN,Australia,Australia,,,,We will not forget moments of silence and days of mourning in Australia and Africa and Latin America.
bush,NORP,PROPN,Pakistanis,Pakistanis,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,NORP,PROPN,more than 130 Israelis,Israelis,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,India,India,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,El Salvador,El Salvador,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Iran,Iran,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Mexico,Mexico,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,Japan,Japan,,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,PROPN,America,America,ingroup,linked,,America has no truer friend than Great Britain.
bush,GPE,PROPN,Great Britain,Great Britain,ingroup,friend,Elevation,America has no truer friend than Great Britain.
bush,GPE,PROPN,America,America,ingroup,linked,,so honored the British Prime Minister has crossed an ocean to show his unity with America.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,"Americans have known wars -- but for the past 136 years, they have been wars on foreign soil, except for one Sunday in 1941."
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans have known the casualties of war -- but not at the center of a great city on a peaceful morning.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans have known surprise attacks -- but never before on thousands of civilians.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans have many questions tonight.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans are asking: Who attacked our country?
bush,ORG,PROPN,al Qaeda,al Qaeda,outgroup,terrorist organization,Classification,The evidence we have gathered all points to a collection of loosely affiliated terrorist organizations known as al Qaeda.
bush,GPE,PROPN,Tanzania,Tanzania,,,Othering,"They are some of the murderers indicted for bombing American embassies in Tanzania and Kenya, and responsible for bombing the USS Cole."
bush,GPE,PROPN,Kenya,Kenya,,,Othering,"They are some of the murderers indicted for bombing American embassies in Tanzania and Kenya, and responsible for bombing the USS Cole."
bush,ORG,PROPN,Al Qaeda,Al Qaeda,outgroup,terror,Othering,Al Qaeda is to terror what the mafia is to crime.
bush,ORG,NOUN,the mafia,mafia,,,Othering,Al Qaeda is to terror what the mafia is to crime.
bush,NORP,PROPN,Christians,Christians,ingroup,inferred,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,NORP,PROPN,Jews,Jews,ingroup,inferred,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,NORP,PROPN,all Americans,Americans,ingroup,linked,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,PERSON,PROPN,Usama bin Laden,Usama bin Laden,outgroup,inferred,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,ORG,PROPN,the Egyptian Islamic Jihad,Egyptian Islamic Jihad,outgroup ,inferred,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,ORG,PROPN,the Islamic Movement of Uzbekistan,Islamic Movement of Uzbekistan,outgroup,inferred,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,GPE,PROPN,Afghanistan,Afghanistan,,,,"They are recruited from their own nations and neighborhoods and brought to camps in places like Afghanistan, where they are trained in the tactics of terror."
bush,ORG,PROPN,al Qaeda,al Qaeda,outgroup,linked,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,GPE,PROPN,Afghanistan,Afghanistan,,,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,ORG,NOUN,the Taliban regime,Taliban regime,outgroup,regime,Classification,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,ORG,NOUN,al Qaeda,al Qaeda,,,Othering,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,GPE,PROPN,al Qaeda,al Qaeda,,,,"In Afghanistan, we see al Qaeda's vision for the world."
bush,GPE,PROPN,Afghanistan,Afghanistan,,,,"In Afghanistan, we see al Qaeda's vision for the world."
bush,GPE,PROPN,Afghanistan,Afghanistan,,,,A man can be jailed in Afghanistan if his beard is not long enough.
bush,GPE,PROPN,The United States,The United States,ingroup,linked,,The United States respects the people of Afghanistan.
bush,GPE,PROPN,Afghanistan,Afghanistan,,,Elevation,The United States respects the people of Afghanistan.
bush,ORG,NOUN,the Taliban regime,Taliban regime,outgroup,regime,Othering,"After all, we are currently its largest source of humanitarian aid; but we condemn the Taliban regime."
bush,ORG,NOUN,the Taliban regime,Taliban regime,outgroup,regime,Othering,"By aiding and abetting murder, the Taliban regime is committing murder."
bush,GPE,PROPN,the United States of America,the United States of America,ingroup,linked,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,ORG,PROPN,the Taliban,Taliban,outgroup,linked,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,GPE,NOUN,United States authorities,United States authorities,ingroup,linked,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,ORG,PROPN,al Qaeda,al Qaeda,outgroup,linked,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,GPE,PROPN,Afghanistan,Afghanistan,,,,"Close immediately and permanently every terrorist training camp in Afghanistan, and hand over every terrorist, and every person in their support structure, to appropriate authorities."
bush,GPE,PROPN,the United States,the United States,ingroup,linked,,"Give the United States full access to terrorist training camps, so we can make sure they are no longer operating."
bush,ORG,PROPN,The Taliban,Taliban,outgroup,linked,,"The Taliban must act, and act immediately."
bush,NORP,PROPN,Muslims,Muslims,ingroup,linked,,I also want to speak tonight directly to Muslims throughout the world.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,"It's practiced freely by many millions of Americans, and by millions more in countries that America counts as friends."
bush,GPE,PROPN,America,America,ingroup,linked,,"It's practiced freely by many millions of Americans, and by millions more in countries that America counts as friends."
bush,GPE,PROPN,America,America,ingroup,linked,,The enemy of America is not our many Muslim friends; it is not our many Arab friends.
bush,GPE,PROPN,Muslim friends,Muslim,ingroup,friend,Elevation,The enemy of America is not our many Muslim friends; it is not our many Arab friends.
bush,ORG,PROPN,al Qaeda,al Qaeda,outgroup,war on terror,Othering,"Our war on terror begins with al Qaeda, but it does not end there."
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,"Americans are asking, why do they hate us?"
bush,GPE,PROPN,Egypt,Egypt,,,Othering,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,PROPN,Saudi Arabia,Saudi Arabia,,,Othering,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,PROPN,Jordan,Jordan,,,Othering,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,PROPN,Israel,Israel,,,Othering,They want to drive Israel out of the Middle East.
bush,NORP,PROPN,Christians,Christians,ingroup,inferred,,They want to drive Christians and Jews out of vast regions of Asia and Africa.
bush,NORP,PROPN,Jews,Jews,ingroup,inferred,,They want to drive Christians and Jews out of vast regions of Asia and Africa.
bush,GPE,PROPN,America,America,ingroup,linked,,"With every atrocity, they hope that America grows fearful, retreating from the world and forsaking our friends."
bush,NORP,PROPN,Nazism,Nazism,,,Othering,"By sacrificing human life to serve their radical visions -- by abandoning every value except the will to power -- they follow in the path of fascism, Nazism, and totalitarianism."
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans are asking: How will we fight and win this war?
bush,GPE,PROPN,Iraq,Iraq,,,,"Now this war will not be like the war against Iraq a decade ago, with a decisive liberation of territory and a swift conclusion."
bush,GPE,PROPN,Kosovo,Kosovo,,,,"It will not look like the air war above Kosovo two years ago, where no ground troops were used and not a single American was lost in combat."
bush,NORP,PROPN,not a single American,American,ingroup,linked,,"It will not look like the air war above Kosovo two years ago, where no ground troops were used and not a single American was lost in combat."
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,"Americans should not expect one battle, but a lengthy campaign, unlike any other we have ever seen."
bush,GPE,PROPN,the United States,the United States,ingroup,linked,,"From this day forward, any nation that continues to harbor or support terrorism will be regarded by the United States as a hostile regime."
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,We will take defensive measures against terrorism to protect Americans.
bush,ORG,PROPN,the Office of Homeland Security,the Office of Homeland Security,ingroup,inferred,,"So tonight, I announce the creation of a Cabinet-level position reporting directly to me -- the Office of Homeland Security."
bush,NORP,PROPN,a distinguished American,American,ingroup,linked,,"And tonight I also announce a distinguished American to lead this effort, to strengthen American security: a military veteran, an effective governor, a true patriot, a trusted friend -- Pennsylvania's Tom Ridge."
bush,PERSON,PROPN,Pennsylvania's Tom Ridge,Tom Ridge,ingroup,friend,Classification,"And tonight I also announce a distinguished American to lead this effort, to strengthen American security: a military veteran, an effective governor, a true patriot, a trusted friend -- Pennsylvania's Tom Ridge."
bush,ORG,NOUN,FBI agents,FBI agents,ingroup,inferred,,"Many will be involved in this effort, from FBI agents to intelligence operatives to the reservists we have called to active duty."
bush,ORG,PROPN,the damaged Pentagon,Pentagon,ingroup,inferred,,"And tonight, a few miles from the damaged Pentagon, I have a message for our military: Be ready."
bush,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,inferred,,"I've called the Armed Forces to alert, and there is a reason."
bush,GPE,PROPN,America,America,ingroup,linked,,"The hour is coming when America will act, and you will make us proud."
bush,GPE,PROPN,The United States,The United States,ingroup,inferred,,The United States is grateful that many nations and many international organizations have already responded -- with sympathy and with support.
bush,GPE,PROPN,the NATO Charter,NATO Charter,,,,Perhaps the NATO Charter reflects best the attitude of the world: An attack on one is an attack on all.
bush,NORP,PROPN,Americans,Americans,ingroup,linked,,Americans are asking: What is expected of us?
bush,GPE,PROPN,America,America,ingroup,linked,,"I ask you to uphold the values of America, and remember why so many have come here."
bush,GPE,PROPN,New York,New York,,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,GPE,PROPN,Pennsylvania,Pennsylvania,,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,GPE,PROPN,Virginia,Virginia,,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,ORG,NOUN,FBI agents,FBI agents,ingroup,inferred,,"The thousands of FBI agents who are now at work in this investigation may need your cooperation, and I ask you to give it."
bush,GPE,PROPN,America,America,ingroup,linked,,"America is successful because of the hard work, and creativity, and enterprise of our people."
bush,ORG,NOUN,Prayer,Prayer,,,,"Prayer has comforted us in sorrow, and will help strengthen us for the journey ahead."
bush,NORP,PROPN,my fellow Americans,Americans,ingroup,linked,,Tonight I thank my fellow Americans for what you have already done and for what you will do.
bush,ORG,PROPN,the Congress,Congress,ingroup,inferred,,"And ladies and gentlemen of the Congress, I thank you, their representatives, for what you have already done and for what we will do together."
bush,NORP,PROPN,all New Yorkers,New Yorkers,ingroup,inferred,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,PERSON,PROPN,Governor George Pataki,Governor George Pataki,ingroup,inferred,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,PERSON,PROPN,Mayor Rudolph Giuliani,Mayor Rudolph Giuliani,ingroup,inferred,,"Tonight we welcome two leaders who embody the extraordinary spirit of all New Yorkers: Governor George Pataki, and Mayor Rudolph Giuliani."
bush,ORG,PROPN,Congress,Congress,ingroup,inferred,,"As a symbol of America's resolve, my administration will work with Congress, and these two leaders, to show the world that we will rebuild New York City."
bush,GPE,PROPN,New York City,New York City,,,Elevation,"As a symbol of America's resolve, my administration will work with Congress, and these two leaders, to show the world that we will rebuild New York City."
bush,GPE,PROPN,the United States of America,the United States of America,ingroup,linked,,"As long as the United States of America is determined and strong, this will not be an age of terror; this will be an age of liberty, here and across the world."
bush,PERSON,PROPN,George Howard,George Howard,ingroup,inferred,,": It is the police shield of a man named George Howard, who died at the World Trade Center trying to save others."
bush,PERSON,PROPN,Arlene,Arlene,ingroup,inferred,,"It was given to me by his mom, Arlene, as a proud memorial to her son."
bush,GPE,PROPN,the United States of America,the United States of America,ingroup,linked,,"In all that lies before us, may God grant us wisdom, and may He watch over the United States of America."
binladen,PERSON,PROPN,Muhammad,Muhammad,ingroup,inferred,,I declare that there is no God but Allah and that Muhammad is his subject and messenger.
binladen,PERSON,PROPN,Ye,Ye,,,,"And thank God who said: ""Ye are the best of peoples evolved for mankind, enjoining what is right, forbidding what is wrong, and believing in God."""
binladen,PERSON,PROPN,his Prophet,Prophet,ingroup,inferred,,"Prayers and peace be upon his Prophet who said: ""People who see an unjust person and do nothing are about to be punished by God."""
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,NORP,PROPN,Jews,Jews,outgroup,inferred,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,NORP,PROPN,Christians,Christians,outgroup,inferred,,"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become"
binladen,GPE,PROPN,Palestine,Palestine,,,,Your blood has been spilled in Palestine and Iraq.
binladen,GPE,PROPN,Iraq,Iraq,,,,Your blood has been spilled in Palestine and Iraq.
binladen,GPE,PROPN,Qana,Qana,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Lebanon,Lebanon,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Tajikistan,Tajikistan,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Burma,Burma,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Kashmir,Kashmir,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Assam,Assam,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,the Philippines,Philippines,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,PERSON,PROPN,Fatani,Fatani,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Ogaden,Ogaden,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Somalia,Somalia,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Eritrea,Eritrea,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,Chechnya,Chechnya,,,Event,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,GPE,PROPN,the United States,the United States,outgroup,conspiracy,Othering,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,ORG,PROPN,the unfair United Nations,United Nations,outgroup,unfair,Classification,"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
binladen,NORP,PROPN,Muslims,Jewish-crusade alliance,outgroup,crusade alliance,Othering,"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
binladen,NORP,PROPN,the Muslims,Muslims,ingroup,inferred,,"The latest aggression was one of the worst catastrophes to befall the Muslims since the death of the Prophet, may God's prayers and blessings be upon him."
